text,Label_by_zihan,Label_by_ben,Label_by_nicole,average
what do these '1/2 naked pics' have to do with anything? They're not even like that.,3,3,4,3.333333333
OH: “I had a blue penis while I was this” [playing with Google Earth VR],5,5,6,5.333333333
"That's coming, but I think the victims are going to be Medicaid recipients.",5,6,5,5.333333333
I think I may be finally in with the in crowd #mannequinchallenge #grads2014,7,9,7,7.666666667
"Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",4,2,3,3
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,2,3,6,3.666666667
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,2,4,6,4
take away illegals and dead people and Trump wins popular vote too.,4,3,5,4
An interesting security vulnerability - albeit not for the everyday car thief,4,5,4,4.333333333
"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",3,4,4,3.666666667
Swampbitch Nasty Pelosi loves yelling 'Fire' in the crowded swamp. #blackfriday,2,1,3,2
ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,5,5,5,5
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,4,5,5,4.666666667
alt-right was adopted by Deplorables. Average middle Americans. I've now moved to Libertarian.,3,3,4,3.333333333
"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",4,5,5,4.666666667
"Going to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",6,10,6,7.333333333
Listen to win passes to see #FantasticBeasts after 2pm w/,7,8,6,7
The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,5,5,5,5
Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,5,6,7,6
"#Israel fire updates: Major blaze breaks out near #Jerusalem, firebombing suspected...",4,4,4,4
"RT Can I politely suggest that we all stop using the term ""alt-right"" and use other, more precise words.",4,3,5,4
Day 5 Advent Gift Countdown - 'Gold Standard' #20moresleeps #christmasgifts #luxuryhampers…,7,7,6,6.666666667
Ben Carson awoke this morning to find out that the big yellow thing in the sky is the sun,2,5,5,4
Can't wait to try this - Google Earth VR - this stuff really is the future of exploration....,8,7,7,7.333333333
Trump is likely supporting Putin talking on unsecured phone lines bc Trump's tied to Russia #DworkinReport,3,4,4,3.666666667
"The fact that mike pence thinks there's a ""cure"" for being gay is absolutely the most ridiculous statement I have ever heard in my life",1,2,4,2.333333333
Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston Globe,4,5,5,4.666666667
Clinton foundation reminds me of Maharashtra CM Antuley's foundation in 80s for taking bribe.,3,5,3,3.666666667
Survey shows Poroshenko has lost considerable electoral support in two years,3,4,4,3.666666667
When Trump jeopardizes their social security and Medicare payments imma laugh.,2,2,5,3
At Any Price review – generations clash in the American midwest #ZacEfron,5,4,5,4.666666667
Wow - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. Good news I supp…,8,2,5,5
"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",7,5,6,6
"Download UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",6,6,5,5.666666667
I love Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,9,9,7,8.333333333
In august2008.puppet Saakashvili attacked South Ossetia and Russian peacekeepers.South Ossetia will be i…,4,4,5,4.333333333
"Yes, white supremacists are America's greatest problem ever. OMG. GET REAL. #GOAWAY",3,2,5,3.333333333
I'm getting tired of these people and their gun control,1,3,4,2.666666667
#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse Code: BLACKFRISAVE#DrainTheSwamp #Deplorables…,5,6,7,6
It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,4,3,4,3.666666667
"it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)",7,5,5,5.666666667
#Putin has had it with #Obama and has decided to throw #America out of #Syria negotiationshttps://t.co/z4CBIDDU11,3,4,4,3.666666667
"we all know on JANUARY 20th trump gonna push oil, fossil fuels, fracking down our throats. Fml... We must fight back. GOP sucks",2,1,3,2
"With James Comey in office, how could the US investigate the Russians?",3,5,5,4.333333333
"If you're looking for work in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc",5,5,6,5.333333333
Didn't take long for the Clinton Foindation money train to derail. Zero Hedge,3,3,4,3.333333333
idk where to start after my intro. im writing from a pro-raising-minimum-wage pov but I'm stuck ☹️,4,4,4,4
This isn't the 1st time & the #Hamas supporting #IntifadaBrigade mock disasters/terror attacks while p…,2,5,4,3.666666667
#Platz / #Place: 4 Vente Pa' Ca (feat. Maluma) - Ricky Martin #top100 #musik #music #charts #Spain #Spanien,5,6,7,6
Come on Electoral College. Please do your job. Majority of Americans do not want This is NOT the f…,4,3,4,3.666666667
shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor making these beautiful men,6,7,8,7
only wants adulation and sycophants. Like Kim Fatty the Third. Paranoia and bugs rooms.,1,2,3,2
Poorer states than Alabama have it because they accepted Medicaid expansion,3,5,5,4.333333333
2016 Prime Cuts JUSTIN VERLANDER Timeline Game Used 2 Color Button Patch 1/1,5,5,5,5
The Jew boy has spoken.,5,4,5,4.666666667
The latest Smart LifeStyle Food! Thanks to #weightloss #nationalfastfoodday,7,8,6,7
I find myself humming the notes of #ThisIsUs sang a few episodes ago. Missing her angelic voice. Love the show.,8,8,8,8
#NoDAPL #CorporateGreed #corporations are #evil especially the media #corporations #tpp #TrumpTrain #bravo #cnn #foxnews #soulless #wrong 😣,2,1,3,2
"it's free with insurance because of Obamacare, which trump wants to repeal 🙃",4,4,4,4
Buy VAMAA 3D Printing Pen 1.75mm ABS Filament 10m (0.25*40 Strands) (Snow White) at Rs. 299.00,5,5,5,5
The #Obama admin. has carried out a deliberately deceptive campaign accusing Iran of sending arms to #Houthis#yemenhttps://t.co/KYu02C73ww,3,3,4,3.333333333
#Yanukovych seems much more willing to take questions from the media than often is! #UkrAine,5,5,5,5
"Madison Bartley with nice debut tonight: made her only shot and finished with 5 boards, 3 blocks, and 2 steals in Fairmont's win over Tipp.",4,8,7,6.333333333
☞ ISIS Films Men Laughing While Woman Is Raped in Background,1,1,3,1.666666667
#TPP is N.W.O.; 1%er's Corporatocracy;～Global Governance by Corporate Jews.【https://t.co/WZGQvZfJgo https://t.co/vRaKoOEr73】#ows #tcot #p2,3,5,5,4.333333333
