,Qwen 1.5 Chat (0.5B),Qwen 1.5 Chat (1.8B),Qwen 1.5 Chat (4B),Qwen 1.5 Chat (7B),Qwen 1.5 Chat (14B),Qwen 1.5 Chat (72B),LLaMA-2 Chat (70B),GPT-4o,GPT-3.5 Turbo,GPT-4 Turbo,GPT-4o W/O Reasoning
0,1.0,3.0,1.0,6,3.0,3,3.0,3,3,5,2
1,7.0,7.0,0.0,0,3.0,3,6.0,5,5,6,1
2,7.0,5.0,2.0,5,3.0,4,3.0,2,2,3,3
3,,7.0,,8,6.0,6,8.0,8,8,8,8
4,7.0,7.0,2.0,2,3.0,4,3.0,3,2,2,2
5,,5.0,7.0,5,3.0,4,6.0,3,2,4,3
6,,7.0,10.0,0,8.0,7,8.0,6,3,7,6
7,7.0,7.0,0.0,2,3.0,6,2.0,2,2,3,1
8,7.0,6.0,,7,6.0,5,5.0,6,5,6,5
9,7.0,6.0,5.0,4,4.0,5,3.0,3,2,3,3
10,0.0,,1.0,1,3.0,2,2.0,1,1,1,0
11,,7.0,0.0,5,3.0,5,5.0,5,5,5,5
12,,5.0,1.0,5,3.0,5,3.0,5,2,2,0
13,,7.0,0.0,4,3.0,5,3.0,5,5,6,5
14,,7.0,,6,6.0,4,5.0,6,5,5,5
15,,1.0,9.0,6,6.0,6,8.0,7,8,7,7
16,,7.0,,7,7.0,4,8.0,8,5,8,8
17,,7.0,,5,3.0,5,8.0,5,5,5,5
18,,10.0,9.0,6,6.0,6,8.0,8,5,7,8
19,,7.0,5.0,6,3.0,5,5.0,3,2,2,2
20,7.0,,0.0,7,6.0,5,8.0,6,5,6,6
21,,7.0,9.0,7,6.0,8,8.0,9,8,8,8
22,0.0,7.0,0.0,5,0.0,6,5.0,6,5,6,6
23,9.0,10.0,9.0,9,9.0,9,8.0,9,9,8,9
24,0.0,5.0,1.0,6,3.0,6,3.0,2,2,3,3
25,0.0,10.0,9.0,0,1.0,1,2.0,2,1,2,2
26,,7.0,,0,6.0,5,5.0,5,5,4,5
27,,,1.0,1,3.0,6,2.0,2,2,2,2
28,0.0,6.0,0.0,4,3.0,5,4.0,5,2,5,3
29,0.0,7.0,1.0,1,3.0,4,3.0,2,2,2,1
30,,5.0,5.0,0,5.0,6,5.0,4,5,5,6
31,7.0,1.0,,9,7.0,7,8.0,8,8,7,7
32,7.0,6.0,5.0,6,5.0,5,5.0,5,5,6,5
33,,1.0,6.0,8,7.0,8,8.0,8,8,8,9
34,,7.0,10.0,10,8.0,9,8.0,9,9,8,9
35,,7.0,0.0,5,4.0,4,4.0,2,2,2,2
36,,7.0,1.0,0,2.0,6,8.0,1,2,3,0
37,0.0,7.0,7.0,6,4.0,4,3.0,3,2,4,3
38,,7.0,6.0,6,3.0,6,6.0,6,6,6,5
39,0.0,5.0,1.0,1,3.0,4,3.0,2,2,3,3
40,,6.0,6.0,6,3.0,6,5.0,5,3,6,5
41,,7.0,,4,3.0,4,2.0,3,2,3,2
42,7.0,7.0,7.0,4,3.0,1,2.0,1,2,2,0
43,7.0,5.0,0.0,5,0.0,4,3.0,3,2,3,4
44,,8.0,,6,5.0,5,8.0,5,5,8,6
45,0.0,5.0,7.0,4,3.0,4,3.0,2,2,2,3
46,,10.0,1.0,5,3.0,6,5.0,3,2,4,4
47,,7.0,10.0,4,2.0,3,2.0,1,2,2,1
48,,7.0,,0,7.0,3,8.0,6,5,6,8
49,,10.0,,9,4.0,4,2.0,3,2,4,2
50,9.0,7.0,9.0,9,8.0,8,8.0,9,6,8,9
51,,7.0,7.0,0,2.0,2,2.0,1,1,2,1
52,0.0,3.0,,5,6.0,4,5.0,3,3,4,3
53,,2.0,5.0,0,5.0,5,5.0,8,5,6,7
54,7.0,7.0,0.0,3,3.0,1,,0,1,1,0
55,,7.0,9.0,7,6.0,8,8.0,8,8,8,8
56,7.0,9.0,,9,8.0,9,8.0,9,9,8,9
57,,7.0,10.0,2,3.0,2,3.0,2,2,2,1
58,,,2.0,6,3.0,4,6.0,4,3,4,5
59,1.0,0.0,0.0,0,5.0,5,6.0,5,5,6,7
60,,5.0,6.0,4,3.0,4,2.0,2,3,2,2
61,,10.0,,8,6.0,7,8.0,7,8,6,7
62,5.0,5.0,0.0,8,7.0,8,8.0,8,9,8,9
63,,7.0,0.0,0,1.0,1,,0,0,0,0
64,,1.0,1.0,1,2.0,2,2.0,1,0,1,0
65,,5.0,,1,3.0,6,2.0,2,1,4,2
66,,7.0,7.0,6,3.0,4,2.0,2,2,2,2
67,7.0,7.0,0.0,4,7.0,8,8.0,8,9,7,9
68,,5.0,1.0,1,1.0,2,2.0,1,2,1,2
69,7.0,7.0,9.0,9,8.0,8,8.0,9,9,8,8
70,,,,0,2.0,3,0.0,0,2,1,0
71,0.0,,,1,3.0,3,3.0,2,2,3,2
72,0.0,7.0,2.0,5,6.0,6,6.0,8,2,7,7
73,,5.0,5.0,5,6.0,6,7.0,8,6,8,8
74,,6.0,9.0,5,5.0,5,6.0,5,6,6,5
75,,7.0,,6,7.0,5,8.0,5,5,5,5
76,7.0,3.0,,1,3.0,5,2.0,2,2,2,2
77,,,0.0,7,4.0,5,8.0,8,5,7,7
78,,7.0,,0,3.0,5,5.0,5,5,5,5
79,,7.0,,0,3.0,5,6.0,5,5,5,5
80,,10.0,,9,6.0,7,5.0,7,5,6,5
81,,,1.0,5,3.0,6,2.0,2,2,2,2
82,7.0,7.0,1.0,2,4.0,3,2.0,2,2,2,2
83,,1.0,,6,7.0,8,8.0,8,8,7,8
84,,1.0,,5,7.0,5,5.0,5,5,5,5
85,7.0,10.0,10.0,9,8.0,8,8.0,8,9,7,9
86,,5.0,1.0,0,3.0,2,2.0,2,2,2,2
87,0.0,7.0,1.0,4,3.0,3,2.0,2,2,2,2
88,,10.0,5.0,5,3.0,5,5.0,5,5,3,4
89,,7.0,,0,3.0,5,4.0,3,2,3,2
90,,9.0,9.0,9,9.0,9,9.0,9,9,9,9
91,,7.0,7.0,4,3.0,3,3.0,2,2,2,2
92,7.0,1.0,1.0,6,3.0,3,4.0,2,8,2,1
93,,10.0,1.0,5,4.0,3,2.0,2,3,2,4
94,,10.0,9.0,9,9.0,9,8.0,9,9,9,9
95,7.0,5.0,9.0,9,8.0,9,8.0,9,9,9,9
96,,7.0,0.0,2,3.0,4,,1,1,2,0
97,0.0,7.0,1.0,0,2.0,4,4.0,2,2,2,1
98,,7.0,1.0,0,2.0,2,2.0,2,2,2,1
99,,8.0,9.0,9,7.0,4,8.0,8,8,7,8
100,0.0,7.0,,4,4.0,3,2.0,3,2,3,3
101,,6.0,0.0,6,4.0,4,2.0,2,2,4,2
102,0.0,,1.0,4,3.0,4,3.0,2,2,2,1
103,7.0,7.0,7.0,1,6.0,2,2.0,2,2,2,2
104,,7.0,0.0,7,7.0,8,8.0,6,8,8,7
105,0.0,5.0,,6,3.0,4,6.0,6,3,6,5
106,,7.0,,3,3.0,6,6.0,4,4,6,4
107,,1.0,0.0,0,3.0,5,5.0,5,5,5,3
108,,7.0,2.0,0,3.0,3,2.0,1,2,2,0
109,,9.0,9.0,9,8.0,8,8.0,9,8,8,8
110,,7.0,,9,4.0,4,2.0,4,5,6,5
111,,7.0,,8,2.0,3,2.0,2,2,2,2
112,,7.0,,9,8.0,9,8.0,10,9,9,10
113,,7.0,,6,6.0,8,5.0,7,5,6,6
114,,7.0,6.0,6,3.0,5,8.0,6,5,6,7
115,0.0,5.0,6.0,2,3.0,4,2.0,3,2,3,2
116,,1.0,,6,7.0,8,8.0,9,9,8,8
117,0.0,,,5,3.0,4,3.0,5,3,3,5
118,,7.0,,9,8.0,8,8.0,8,7,9,9
119,0.0,1.0,,6,3.0,5,3.0,3,2,3,4
120,0.0,,1.0,0,0.0,1,2.0,2,2,2,2
121,,,0.0,6,3.0,6,6.0,6,1,6,3
122,,2.0,0.0,7,8.0,5,4.0,3,3,3,3
123,,10.0,1.0,6,3.0,5,2.0,3,2,3,3
124,9.0,5.0,8.0,8,6.0,8,6.0,7,8,7,8
125,0.0,7.0,0.0,5,3.0,4,3.0,1,2,2,2
126,,1.0,0.0,0,3.0,6,6.0,4,1,6,4
127,,10.0,10.0,9,8.0,8,8.0,9,9,8,8
128,,5.0,0.0,4,4.0,5,3.0,3,2,6,4
129,0.0,7.0,1.0,0,1.0,3,1.0,2,1,6,1
130,,10.0,,9,8.0,8,8.0,8,8,8,9
131,,7.0,,6,5.0,5,5.0,5,5,6,5
132,7.0,7.0,1.0,0,3.0,4,2.0,3,1,3,2
133,,7.0,,6,6.0,4,6.0,5,5,6,7
134,9.0,8.0,9.0,9,7.0,8,8.0,9,8,8,9
135,,6.0,0.0,5,3.0,5,5.0,5,5,5,5
136,,6.0,0.0,1,1.0,4,8.0,3,5,3,2
137,7.0,7.0,9.0,9,8.0,8,8.0,8,8,8,9
138,,10.0,1.0,2,3.0,3,2.0,2,2,2,2
139,,7.0,1.0,0,2.0,3,2.0,1,2,1,0
140,5.0,7.0,,0,5.0,5,5.0,5,5,5,7
141,0.0,3.0,0.0,3,6.0,5,5.0,5,5,5,7
142,,10.0,7.0,9,8.0,9,8.0,9,9,8,9
143,,10.0,,8,8.0,9,8.0,8,9,8,9
144,,5.0,,6,3.0,4,8.0,5,5,6,5
145,,7.0,6.0,7,6.0,5,6.0,5,5,7,6
146,,6.0,2.0,6,4.0,5,6.0,6,6,6,5
147,,5.0,7.0,4,3.0,2,2.0,1,2,2,1
148,7.0,5.0,,6,3.0,4,3.0,2,3,3,2
149,,0.0,0.0,1,3.0,6,2.0,1,2,2,2
150,7.0,5.0,6.0,6,4.0,6,6.0,6,8,8,6
151,7.0,,10.0,9,7.0,8,8.0,8,9,7,8
152,,6.0,0.0,5,3.0,5,5.0,3,3,4,5
153,0.0,,1.0,2,3.0,3,3.0,2,2,2,1
154,,7.0,,5,0.0,5,5.0,5,5,5,5
155,,2.0,7.0,6,4.0,4,6.0,5,3,3,3
156,,6.0,7.0,4,3.0,4,2.0,2,1,2,3
157,,10.0,,9,6.0,4,6.0,5,5,4,5
158,,,9.0,9,7.0,8,8.0,9,8,8,8
159,,8.0,,8,7.0,8,8.0,9,9,8,8
160,7.0,1.0,,3,3.0,4,3.0,3,3,4,3
161,,5.0,,6,3.0,5,5.0,3,2,6,3
162,,,,9,7.0,8,8.0,9,8,8,9
163,,,,6,6.0,8,8.0,7,5,8,8
164,7.0,5.0,6.0,4,3.0,4,5.0,3,3,4,4
165,,1.0,,9,8.0,9,8.0,9,9,8,9
166,,10.0,0.0,9,8.0,8,8.0,7,8,7,6
167,,,1.0,0,1.0,1,2.0,1,1,1,0
168,0.0,7.0,,5,3.0,4,3.0,3,2,5,1
169,7.0,10.0,,3,8.0,6,8.0,3,2,3,3
170,0.0,7.0,0.0,6,0.0,5,4.0,5,5,5,5
171,,10.0,9.0,9,8.0,8,8.0,8,9,7,7
172,,7.0,,0,0.0,2,,0,0,2,0
173,,10.0,0.0,6,6.0,8,8.0,8,8,7,8
174,,7.0,,9,8.0,4,8.0,5,6,4,5
175,0.0,5.0,7.0,4,3.0,4,2.0,2,2,3,2
176,,4.0,0.0,0,3.0,3,5.0,5,3,5,3
177,,1.0,5.0,0,0.0,5,5.0,5,5,5,5
178,,7.0,1.0,9,2.0,1,2.0,1,2,1,0
179,7.0,7.0,10.0,0,2.0,4,2.0,2,2,3,2
180,,5.0,,9,7.0,8,8.0,8,8,7,8
181,,10.0,5.0,5,3.0,5,5.0,5,5,5,4
182,,10.0,,9,8.0,8,8.0,9,8,8,8
183,,5.0,0.0,0,2.0,2,2.0,1,9,2,1
184,,,0.0,1,2.0,4,2.0,2,1,2,1
185,,9.0,,9,7.0,8,8.0,9,9,8,9
186,0.0,10.0,,9,8.0,9,8.0,9,9,8,9
187,0.0,1.0,0.0,6,3.0,4,4.0,3,2,3,3
188,,7.0,,6,3.0,4,4.0,2,2,3,2
189,,6.0,,8,7.0,8,8.0,8,8,8,8
190,,5.0,7.0,6,3.0,4,3.0,2,2,2,1
191,9.0,7.0,0.0,6,6.0,4,2.0,4,2,3,2
192,,5.0,7.0,4,3.0,4,2.0,2,2,2,2
193,,7.0,0.0,0,2.0,6,2.0,1,1,2,1
194,,10.0,9.0,9,7.0,9,8.0,8,8,8,7
195,,,0.0,2,3.0,3,2.0,2,2,3,1
196,7.0,7.0,1.0,0,2.0,3,2.0,2,2,2,2
197,,,0.0,0,2.0,4,8.0,1,0,1,0
198,7.0,5.0,7.0,1,3.0,4,2.0,2,2,2,2
199,0.0,7.0,1.0,4,3.0,4,2.0,1,1,2,1
200,,5.0,0.0,6,3.0,5,5.0,5,5,5,5
201,,1.0,7.0,1,3.0,4,2.0,1,2,2,2
202,,10.0,9.0,7,5.0,8,6.0,8,8,7,6
203,,10.0,8.0,7,6.0,4,3.0,4,3,5,4
204,0.0,6.0,0.0,6,3.0,4,2.0,3,2,2,3
205,,1.0,,0,2.0,1,0.0,0,1,0,0
206,,6.0,,6,,5,5.0,5,5,5,5
207,0.0,5.0,0.0,1,3.0,3,2.0,2,2,2,0
208,,7.0,9.0,1,2.0,2,2.0,1,2,2,2
209,7.0,10.0,1.0,0,0.0,1,0.0,0,0,0,0
210,,7.0,7.0,7,8.0,8,8.0,7,8,8,7
211,0.0,5.0,7.0,2,3.0,4,4.0,4,2,4,3
212,,1.0,,6,3.0,5,5.0,5,5,6,5
213,,5.0,,5,6.0,4,4.0,3,3,4,4
214,,,5.0,10,7.0,8,8.0,8,8,7,7
215,0.0,,0.0,5,0.0,5,5.0,5,5,5,5
216,,,,5,6.0,6,6.0,6,7,7,5
217,0.0,5.0,2.0,4,3.0,4,3.0,3,3,3,3
218,0.0,9.0,,3,3.0,3,3.0,4,3,4,4
219,0.0,1.0,2.0,4,3.0,5,3.0,3,2,3,3
220,,2.0,,4,3.0,4,3.0,3,2,3,3
221,7.0,7.0,7.0,4,3.0,4,3.0,3,2,4,3
222,0.0,0.0,0.0,5,3.0,4,2.0,2,1,4,3
223,,7.0,6.0,7,3.0,5,2.0,2,2,2,2
224,0.0,5.0,0.0,6,0.0,5,6.0,5,5,5,5
225,,7.0,1.0,6,4.0,3,3.0,2,2,3,2
226,0.0,7.0,,2,3.0,5,8.0,5,2,7,4
227,8.0,8.0,,8,5.0,5,5.0,5,5,6,5
228,,8.0,,10,9.0,9,8.0,9,9,9,9
229,7.0,7.0,1.0,4,3.0,4,3.0,2,2,2,3
230,,5.0,1.0,0,3.0,4,3.0,4,2,3,2
231,0.0,7.0,,4,3.0,4,2.0,2,1,2,1
232,,7.0,0.0,0,2.0,6,2.0,1,2,2,0
233,,5.0,0.0,5,6.0,5,8.0,8,5,6,8
234,,,,0,2.0,3,3.0,2,1,2,2
235,,7.0,1.0,2,2.0,3,2.0,1,1,2,0
236,,3.0,9.0,6,6.0,6,8.0,8,8,8,8
