text,label,GPT4o_CoT
what do these '1/2 naked pics' have to do with anything? They're not even like that.,5,2
OH: “I had a blue penis while I was this” [playing with Google Earth VR],5,3
"That's coming, but I think the victims are going to be Medicaid recipients.",5,2
I think I may be finally in with the in crowd #mannequinchallenge #grads2014,10,8
"Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",0,3
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,5,3
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,5,7
take away illegals and dead people and Trump wins popular vote too.,0,2
An interesting security vulnerability - albeit not for the everyday car thief,5,6
"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",0,3
Swampbitch Nasty Pelosi loves yelling 'Fire' in the crowded swamp. #blackfriday,0,0
ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,5,5
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,5,2
alt-right was adopted by Deplorables. Average middle Americans. I've now moved to Libertarian.,5,4
"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",5,6
"Going to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",10,7
Listen to win passes to see #FantasticBeasts after 2pm w/,5,8
The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,5,5
Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,5,8
"#Israel fire updates: Major blaze breaks out near #Jerusalem, firebombing suspected...",5,1
"RT Can I politely suggest that we all stop using the term ""alt-right"" and use other, more precise words.",5,6
Day 5 Advent Gift Countdown - 'Gold Standard' #20moresleeps #christmasgifts #luxuryhampers…,5,9
Ben Carson awoke this morning to find out that the big yellow thing in the sky is the sun,5,6
Can't wait to try this - Google Earth VR - this stuff really is the future of exploration....,10,10
Trump is likely supporting Putin talking on unsecured phone lines bc Trump's tied to Russia #DworkinReport,5,2
"The fact that mike pence thinks there's a ""cure"" for being gay is absolutely the most ridiculous statement I have ever heard in my life",0,0
Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston Globe,5,3
Clinton foundation reminds me of Maharashtra CM Antuley's foundation in 80s for taking bribe.,0,0
Survey shows Poroshenko has lost considerable electoral support in two years,5,3
When Trump jeopardizes their social security and Medicare payments imma laugh.,0,1
At Any Price review – generations clash in the American midwest #ZacEfron,5,6
Wow - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. Good news I supp…,10,7
"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",5,5
"Download UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",5,8
I love Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,10,9
In august2008.puppet Saakashvili attacked South Ossetia and Russian peacekeepers.South Ossetia will be i…,0,0
"Yes, white supremacists are America's greatest problem ever. OMG. GET REAL. #GOAWAY",0,2
I'm getting tired of these people and their gun control,0,2
#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse Code: BLACKFRISAVE#DrainTheSwamp #Deplorables…,5,6
It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,0,2
"it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)",0,3
#Putin has had it with #Obama and has decided to throw #America out of #Syria negotiationshttps://t.co/z4CBIDDU11,5,2
"we all know on JANUARY 20th trump gonna push oil, fossil fuels, fracking down our throats. Fml... We must fight back. GOP sucks",0,0
"With James Comey in office, how could the US investigate the Russians?",0,3
"If you're looking for work in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc",5,7
Didn't take long for the Clinton Foindation money train to derail. Zero Hedge,0,2
idk where to start after my intro. im writing from a pro-raising-minimum-wage pov but I'm stuck ☹️,5,3
This isn't the 1st time & the #Hamas supporting #IntifadaBrigade mock disasters/terror attacks while p…,5,1
#Platz / #Place: 4 Vente Pa' Ca (feat. Maluma) - Ricky Martin #top100 #musik #music #charts #Spain #Spanien,5,6
Come on Electoral College. Please do your job. Majority of Americans do not want This is NOT the f…,5,2
shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor making these beautiful men,10,9
only wants adulation and sycophants. Like Kim Fatty the Third. Paranoia and bugs rooms.,0,1
Poorer states than Alabama have it because they accepted Medicaid expansion,5,6
2016 Prime Cuts JUSTIN VERLANDER Timeline Game Used 2 Color Button Patch 1/1,5,7
The Jew boy has spoken.,5,0
The latest Smart LifeStyle Food! Thanks to #weightloss #nationalfastfoodday,10,8
I find myself humming the notes of #ThisIsUs sang a few episodes ago. Missing her angelic voice. Love the show.,10,9
#NoDAPL #CorporateGreed #corporations are #evil especially the media #corporations #tpp #TrumpTrain #bravo #cnn #foxnews #soulless #wrong 😣,0,1
"it's free with insurance because of Obamacare, which trump wants to repeal 🙃",0,4
Buy VAMAA 3D Printing Pen 1.75mm ABS Filament 10m (0.25*40 Strands) (Snow White) at Rs. 299.00,5,5
The #Obama admin. has carried out a deliberately deceptive campaign accusing Iran of sending arms to #Houthis#yemenhttps://t.co/KYu02C73ww,5,2
#Yanukovych seems much more willing to take questions from the media than often is! #UkrAine,5,7
"Madison Bartley with nice debut tonight: made her only shot and finished with 5 boards, 3 blocks, and 2 steals in Fairmont's win over Tipp.",10,8
☞ ISIS Films Men Laughing While Woman Is Raped in Background,0,0
#TPP is N.W.O.; 1%er's Corporatocracy;～Global Governance by Corporate Jews.【https://t.co/WZGQvZfJgo https://t.co/vRaKoOEr73】#ows #tcot #p2,5,0
I hear you. Not worth it. Its like arguing with the devil. That's why I'm on gab.ai. All us deplorables over there. Come join,0,3
Power of 50+ years of unrelenting CIA propaganda for sure. Lest we also forget 50+ years illegal USA trade embargo…,5,2
"Okay, I think I've got my #GilmoreGirlsTop4: Max, Jess, Luke, Sookie",5,9
"Your progressive POS rag is as irrelevant as Michael Moore, one of your early editors.",0,0
“It’s such a futuristic idea. A world in which the descendants of slaves become poets.” ~ Terrance Hayes #NBAwards,5,9
"are you gonna say ""suck it bitch"" to the people he mass deported? the people who've been terrorized by drone strike…",0,0
"Why is no one screaming for gun control? Shouldn't that be the story MSM obsesses over? But no, they MUST discredit #PizzaGate",0,2
Wow...this is one deadly statement! Reminding me of the Greta Muhammad Ali.,10,7
#pmp course prep with in #tripoli #libya; 25% discount; only 5 seats left!,10,8
i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,10,7
Drop 75% Price: £7.88. Paperback: The Gay & Lesbian Marriage & Family Reader: Analyses of Problems and Prospe...,0,6
You mean like Nancy Pelosi making millions on insider trading from her House sources?,5,2
Can someone tell me where I can get a good red eyeshadow from?? (Not animal testing brands pls x),5,7
Michael Hicks picks off Bishop Moore pass; after illegal-block penalty ball at its 33 7:50 2Q,5,5
See and on TV talking about #Homeopathy #ten23,5,5
"hi love the tweet, got stuff on social security tweet",10,8
"Man who funded anti-Trump riots, Hillary, funded radicals to overthrow police, Ukraine go…",0,0
"Stay right here, buddy. There are lots of nasty women and bad hombres that are staying too.",5,2
These Formula racing champs use 3D printing as a key part of their racing strategy. It's the perfect tool with only…,10,8
"#Russia-n and Chinese Defense Ministers discuss the latest development in #Libya, on the margin of a joint military…",5,5
More happy tails!Gino and Rex have been adopted!Gino narrowly escaped euthanasia by heartstick. He is now the...,10,8
"Electoral college hasn't even decided to vote for him, and he can't stop himself from fucking up. c…",0,0
"sadly, Putin has won big time over the past 10-15 years. His biggest triumph being the election of his proxy",10,2
US Airstrikes Hit 34 Daesh Fighting Positions Near Libya's Sirtehttps://t.co/E2aJFRljJx#Libya #News,5,4
you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan,0,2
After finally watching the whole of #FantasticBeasts I can officially say that it is a bloody awesome film✨,10,10
Creepy name dropping won't hide your fake followers #Thanksgiving!@RadioFreeTom,0,1
"*** COURTESY POST - URGENT - RESCUE ONLY ***In danger of euthanasia, rescue needed NOW. Spalding County is in...",0,0
"I hope this isn't another attempt to get a 300 hitter from the National League who now hits 220 Tai wins Cy young, ew",0,2
Omg I love Jill Scott why am I just now watching #ThankYouObama 😭,10,10
"I'm still hype af for Berseria, Persona 5 and FFXV!",10,10
Niggas be broke that's the reason they hate flipping them burgers for minimum wage 😅,0,1
"If their great-grandfathers who fought in WWII could see alt-rightists applauding ""Hail Trump,"" they'd give them such an ass-kicking...",0,1
