Unnamed: 0,text,Label_by_zihan,Label_by_ben,Label_by_nicole,average,label,Qwen 1.5 Chat (0.5B),Qwen 1.5 Chat (1.8B),Qwen 1.5 Chat (4B),Qwen 1.5 Chat (7B),Qwen 1.5 Chat (14B),Qwen 1.5 Chat (72B),LLaMA-2 Chat (70B),GPT-4o,GPT-3.5 Turbo,GPT-4 Turbo,GPT-4o W/O Reasoning,Sentiment Roberta,Custmized Bert
0,what do these '1/2 naked pics' have to do with anything? They're not even like that.,3.0,3.0,4.0,3.333333333,5,1.0,3.0,1.0,6.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0008123,3.385936
1,OH: “I had a blue penis while I was this” [playing with Google Earth VR],5.0,5.0,6.0,5.333333333,5,7.0,7.0,0.0,0.0,3.0,3.0,6.0,5.0,5.0,6.0,1.0,5.1227617,6.015794
2,"That's coming, but I think the victims are going to be Medicaid recipients.",5.0,6.0,5.0,5.333333333,5,7.0,5.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.173433,4.166149
3,I think I may be finally in with the in crowd #mannequinchallenge #grads2014,7.0,9.0,7.0,7.666666667,10,7.0,7.0,1.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,6.907494,7.1037135
4,"Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",4.0,2.0,3.0,3.0,0,7.0,7.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.9608936,3.2682095
5,Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,2.0,3.0,6.0,3.666666667,5,1.0,5.0,7.0,5.0,3.0,4.0,6.0,3.0,2.0,4.0,3.0,3.9018233,3.1284776
6,All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,2.0,4.0,6.0,4.0,5,5.0,7.0,10.0,0.0,8.0,7.0,8.0,6.0,3.0,7.0,6.0,3.8318245,3.8289175
7,take away illegals and dead people and Trump wins popular vote too.,4.0,3.0,5.0,4.0,0,7.0,7.0,0.0,2.0,3.0,6.0,2.0,2.0,2.0,3.0,1.0,4.4002028,3.8125792
8,An interesting security vulnerability - albeit not for the everyday car thief,4.0,5.0,4.0,4.333333333,5,7.0,6.0,0.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.561679,5.8075953
9,"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",3.0,4.0,4.0,3.666666667,0,7.0,6.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.5765603,4.629316
10,Swampbitch Nasty Pelosi loves yelling 'Fire' in the crowded swamp. #blackfriday,2.0,1.0,3.0,2.0,0,0.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,2.945528,5.3995447
11,ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,5.0,5.0,5.0,5.0,5,7.0,7.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.003057,5.362989
12,ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,4.0,5.0,5.0,4.666666667,5,7.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,2.0,2.0,0.0,2.9616768,4.1838
